Name,Artist,Year,Genre,Rating,Popularity,Royalty,Streams
"Rising Sun",Aria Sky,2018,Rock,4.2,800,5000,1000000
"Echoes of Tomorrow",The Midnight Riders,2020,Electronic,4.5,1200,6000,1500000
"City Lights",Samantha Rose,2019,Pop,4.0,950,5500,1250000
"Lost in Time",Neon Dreamers,2021,Indie,4.3,1100,5700,1350000
"Breaking Waves",The Seabirds,2017,Alternative,4.1,700,4800,900000
"Fireflies",Lucy Nightingale,2016,Folk,4.4,850,5200,1100000
"Neon Nights",Electric Pulse,2022,Electronic,4.6,1400,6200,1700000
"Wildfire",Phoenix Rising,2015,Rock,4.2,750,5000,950000
"Starlight Serenade",Stella Nova,2018,Pop,4.3,1000,5600,1300000
"Dreamcatcher",Dreamweavers,2019,Indie,4.5,1250,5900,1400000
"Midnight Drive",Nightfall Symphony,2020,Electronic,4.4,1350,6100,1600000
"Sunset Boulevard",Crimson Skyline,2017,Pop,4.1,900,5400,1200000
"Moonlit Sonata",Luna Melody,2016,Classical,4.6,950,6300,1800000
"Electric Dreams",Voltage Sparks,2021,Electronic,4.3,1050,5800,1450000
"Summer Breeze",Ocean Tides,2018,Pop,4.5,1100,6000,1550000
"Lost Souls",Ghost Echoes,2019,Indie,4.2,950,5700,1300000
"High Voltage",Thunderstruck,2017,Rock,4.4,850,5900,1150000
"Whispers in the Wind",Mystic Echo,2016,Alternative,4.0,700,4700,850000
"Golden Horizon",Aurora Skies,2020,Pop,4.3,1150,5900,1450000
"Northern Lights",Aurora Borealis,2018,Electronic,4.5,1300,6200,1650000
"Crystal Dreams",Crystal Waters,2015,Electronic,4.2,800,5300,1000000
"Stardust Symphony",Galactic Harmony,2019,Pop,4.4,1050,6000,1550000
"Dancing in the Dark",Nightshade,2017,Indie,4.1,850,5600,1200000
"Silver Lining",Silver Shadows,2016,Pop,4.3,900,5800,1350000
"Ocean Dreams",Seaside Serenade,2021,Electronic,4.6,1400,6300,1750000
"Under the Moonlight",Midnight Muse,2018,Indie,4.2,1000,5900,1400000
"Echoes of Eternity",Eternal Echo,2019,Electronic,4.5,1200,6100,1600000
"Rhythms of the Rain",Raindance,2017,Pop,4.3,950,5700,1300000
"Enchanted Forest",Mystic Woods,2016,Folk,4.1,800,5100,1050000
"City of Angels",Angelic Voices,2020,Pop,4.4,1100,6000,1550000
"Neon Dreams",Neon Nights,2018,Electronic,4.6,1250,6200,1650000
"Starlit Skyline",Stellar Symphony,2019,Pop,4.3,1050,5900,1400000
"Whispers in the Dark",Shadow Realm,2017,Indie,4.2,900,5700,1250000
"Electric Blue",Blue Horizon,2016,Electronic,4.5,1000,5900,1350000
"Sunrise Sonata",Dawn Harmony,2021,Pop,4.4,1150,6000,1500000
"Moonlit Mirage",Lunar Reflections,2018,Indie,4.3,950,5800,1350000
"Echoes of Eternity",Eternal Echo,2018,Electronic,4.7,1250,6300,1700000
"Midnight Magic",Mystic Moonlight,2017,Pop,4.2,1050,5800,1450000
"Dreamweaver",Dreamcatcher,2016,Indie,4.0,800,5400,1100000
"Lost Paradise",Paradise Lost,2020,Pop,4.5,1200,6100,1600000
"Crystal Clear",Clear Skies,2018,Electronic,4.4,1100,6000,1550000
"Wildflower Waltz",Whispering Meadows,2019,Folk,4.2,1000,5800,1400000
